ads_id,prop_name,completion_year,monthly_rent,location,property_type,rooms,parking,bathroom,size,furnished,region,No_of_facilities,No_of_additional_facilities
100323185,The Hipster @ Taman Desa,2022,4200,Taman Desa,Condominium,5,2,6,1842,1,Kuala Lumpur,10,3
100203973,Segar Courts,.,2300,Cheras,Condominium,3,1,2,1170,3,Kuala Lumpur,9,3
100323128,Pangsapuri Teratak Muhibbah 2,.,1000,Taman Desa,Apartment,3,.,2,650,1,Kuala Lumpur,4,.
100191767,Sentul Point Suite Apartment,2020,1700,Sentul,Apartment,2,1,2,743,3,Kuala Lumpur,8,3
97022692,Arte Mont Kiara,.,1299,Mont Kiara,Service Residence,1,1,1,494,2,Kuala Lumpur,11,1
100322897,Residensi Vista Wirajaya,.,1500,Setapak,Apartment,3,1,2,884,3,Kuala Lumpur,6,2
100322962,Sky Meridien,.,2900,Sentul,Service Residence,3,2,2,982,1,Kuala Lumpur,10,4
100322885,Arte Plus Jalan Ampang,2018,1550,Ampang,Service Residence,1,1,1,700,1,Kuala Lumpur,7,4
100322866,Nova I,2014,1400,Segambut,Apartment,2,1,1,750,1,Kuala Lumpur,5,4
100322863,Sofiya Residences,.,1350,Desa ParkCity,Condominium,3,1,2,862,3,Kuala Lumpur,6,3
100322813,The Park Sky Residence @ Bukit Jalil City,2019,2600,Bukit Jalil,Service Residence,2,.,2,868,3,Kuala Lumpur,7,2
100322809,PV9 Residences @ Taman Melati,2022,2000,Setapak,Service Residence,4,2,2,1100,3,Kuala Lumpur,9,4
100322802,Arte Plus Jalan Ampang,2018,1500,Ampang,Service Residence,1,1,1,700,1,Kuala Lumpur,13,4
87950203,Maxim Citilights,2017,1300,Sentul,Service Residence,3,1,2,1009,1,Kuala Lumpur,11,3
100239196,Greenview Apartments,.,1000,Kepong,Apartment,5,.,2,855,3,Kuala Lumpur,3,3
100322320,Legasi Kampong Bharu,2020,3200,KL City,Apartment,3,1,2,950,1,Kuala Lumpur,13,5
100322311,Legasi Kampong Bharu,2020,3200,KL City,Apartment,3,1,2,950,1,Kuala Lumpur,13,5
100322212,Majestic Maxim,2021,1400,Cheras,Service Residence,2,2,2,650,2,Kuala Lumpur,8,3
100273500,Desa Villas,.,2500,Wangsa Maju,Condominium,4,2,2,1784,2,Kuala Lumpur,4,2
100231953,East Side One Ampang Avenue,.,1800,Ampang,Condominium,3,1,2,1100,1,Kuala Lumpur,8,.
100322123,Majestic Maxim,2021,1099,Cheras,Service Residence,2,1,2,650,2,Kuala Lumpur,8,3
100310024,Majestic Maxim,2021,1099,Cheras,Service Residence,2,1,2,650,3,Kuala Lumpur,8,4
100310022,Majestic Maxim,2021,1199,Cheras,Service Residence,3,1,2,819,2,Kuala Lumpur,8,4
100290514,Majestic Maxim,2021,1100,Cheras,Service Residence,2,1,2,650,2,Kuala Lumpur,8,2
100267049,Sri Penara,.,1000,Cheras,Apartment,3,.,2,650,2,Kuala Lumpur,3,.
100201993,Prisma Cheras,.,1100,Cheras,Condominium,1,1,1,900,3,Kuala Lumpur,9,.
100295196,Menara Alpha,.,1400,Wangsa Maju,Condominium,3,1,2,1140,2,Kuala Lumpur,6,.
100322088,Berlian Residence @ Setapak,.,1500,Setapak,Condominium,3,1,2,900,2,Kuala Lumpur,5,.
100322086,28 Dutamas,2017,2500,Solaris Dutamas,Condominium,4,2,3,1500,3,Kuala Lumpur,6,2
100322100,28 Dutamas,2017,2900,Solaris Dutamas,Condominium,4,2,3,1719,1,Kuala Lumpur,6,2
100322078,Pangsapuri Melur (Sentul),2006,1750,Sentul,Apartment,3,.,2,1065,3,Kuala Lumpur,.,.
100202252,Residensi Vista Wirajaya,.,1800,Setapak,Apartment,3,1,2,885,1,Kuala Lumpur,.,.
100136931,Bayu Sentul Condominium,2015,1900,Sentul,Condominium,3,2,2,1300,3,Kuala Lumpur,.,.
100234716,Flexus Signature Suites,.,1500,Jalan Kuching,Studio,1,1,1,530,1,Kuala Lumpur,6,3
100322047,Menjalara 18,.,2400,Bandar Menjalara,Condominium,3,1,2,1316,1,Kuala Lumpur,8,3
93075352,G Residence @ Desa Pandan,2015,4500,Desa Pandan,Service Residence,3,2,2,1539,1,Kuala Lumpur,4,4
99876261,Greenpark,1999,1400,Old Klang Road,Condominium,3,1,2,1270,3,Kuala Lumpur,10,3
100322029,Majestic Maxim,2021,1800,Cheras,Service Residence,3,1,2,819,3,Kuala Lumpur,10,4
100322005,Baiduri Apartment (Desa Pandan),.,1500,Desa Pandan,Apartment,3,1,2,950,3,Kuala Lumpur,2,.
98292007,Bennington Residences @ SkyArena,2019,3000,Setapak,Condominium,3,2,2,1200,1,Kuala Lumpur,11,4
100321936,Sri Putramas,2004,1600,Jalan Kuching,Condominium,3,1,2,1100,1,Kuala Lumpur,9,3
100321976,Putra Villa,2007,1800,Setapak,Condominium,3,.,2,1066,1,Kuala Lumpur,.,.
99627362,38 Bidara,.,2100,KLCC,Condominium,2,.,2,706,1,Kuala Lumpur,9,.
99492392,3 Towers,2015,2500,Ampang Hilir,Condominium,2,1,1,890,1,Kuala Lumpur,6,.
100036659,One Maxim,2020,1300,Sentul,Service Residence,2,1,2,650,3,Kuala Lumpur,9,.
99528357,Casa Mutiara,2007,2000,Bukit Bintang,Service Residence,2,1,2,742,1,Kuala Lumpur,7,.
100321885,Sofiya Residences,.,2000,Desa ParkCity,Condominium,3,1,2,862,1,Kuala Lumpur,2,3
100273689,Laman Tasik,2002,2100,Cheras,Condominium,4,1,3,1300,1,Kuala Lumpur,6,.
100033999,Residensi Seri Wahyu @ Jalan Kuching KL,.,1300,KL City,Apartment,3,1,2,805,3,Kuala Lumpur,9,.
100033960,The Hamilton,2020,2600,Wangsa Maju,Condominium,4,2,2,1000,1,Kuala Lumpur,8,.
99844667,3 Towers,2015,2000,Ampang Hilir,Service Residence,1,1,1,440,1,Kuala Lumpur,6,.
100321850,Menjalara 18,.,2500,Bandar Menjalara,Condominium,5,2,3,1600,1,Kuala Lumpur,8,3
100321800,The Havre @ Bukit Jalil,2020,2500,Bukit Jalil,Condominium,3,2,2,1028,1,Kuala Lumpur,14,4
94858400,.,.,2000,Setapak,Condominium,4,.,2,940,1,Kuala Lumpur,10,4
93420010,.,.,1800,Setapak,Condominium,3,1,2,860,1,Kuala Lumpur,10,4
86821569,.,.,1700,Jalan Kuching,Condominium,3,2,2,1100,3,Kuala Lumpur,1,1
94858340,.,.,1600,Setapak,Condominium,4,1,2,914,3,Kuala Lumpur,10,4
94861261,.,.,2000,Jalan Kuching,Condominium,3,2,2,1100,1,Kuala Lumpur,10,4
94962913,.,.,1500,Kepong,Condominium,3,2,2,1100,3,Kuala Lumpur,10,1
95481469,.,.,1700,Jalan Kuching,Condominium,3,2,2,1100,3,Kuala Lumpur,4,3
95865588,.,.,1850,Kepong,Condominium,3,2,2,1100,1,Kuala Lumpur,14,5
97361235,.,.,1700,Sentul,Condominium,4,2,3,1200,3,Kuala Lumpur,14,4
97361227,.,.,1700,Jalan Ipoh,Service Residence,2,1,2,904,1,Kuala Lumpur,14,4
97407806,.,.,1800,Kepong,Condominium,4,2,2,1300,3,Kuala Lumpur,14,2
100290798,M3 Residency,2017,1600,Setapak,Condominium,3,1,2,950,3,Kuala Lumpur,.,.
97406687,.,.,1600,Kepong,Condominium,3,2,2,1100,3,Kuala Lumpur,14,3
100321689,Majestic Maxim,2021,1400,Cheras,Service Residence,2,2,2,650,2,Kuala Lumpur,8,3
100321678,D'Puncak Suasana,.,1000,KLCC,Apartment,3,2,2,1000,3,Kuala Lumpur,9,4
100321609,Kaleidoscope,.,2700,Setiawangsa,Condominium,3,.,2,1115,3,Kuala Lumpur,6,.
100321665,KL Traders Square Residences,2019,1400,Gombak,Service Residence,3,1,2,850,2,Kuala Lumpur,14,3
100321664,Prisma Cheras,.,1500,Cheras,Condominium,2,1,1,717,1,Kuala Lumpur,13,4
100321580,Seasons Garden Residences @ Wangsa Maju,2017,1350,Wangsa Maju,Apartment,3,1,2,850,3,Kuala Lumpur,.,.
100321562,Lavile,2021,3000,Cheras,Service Residence,3,.,2,864,1,Kuala Lumpur,11,4
100321251,Maxim Citilights,2017,1300,Sentul,Service Residence,3,1,2,1150,2,Kuala Lumpur,8,1
100321351,Fajar Ria,.,2500,Pantai,Condominium,3,.,2,1500,1,Kuala Lumpur,5,3
100321196,Banyan Tree,2015,7000,KLCC,Condominium,2,1,2,1076,1,Kuala Lumpur,8,4
99435019,PPA1M Bukit Jalil,.,1300,Bukit Jalil,Apartment,3,1,2,1000,2,Kuala Lumpur,6,.
100235971,Taman Connaught,.,900,Cheras,Apartment,2,1,1,550,3,Kuala Lumpur,5,2
100235642,Midah Ria,.,1300,Cheras,Condominium,3,1,2,967,3,Kuala Lumpur,8,3
99774637,Sri Kenangan,.,2500,Wangsa Maju,Condominium,4,1,2,1184,3,Kuala Lumpur,6,.
100321040,Faber Ria,1985,1300,Taman Desa,Condominium,2,1,2,1050,3,Kuala Lumpur,12,1
100321021,Banyan Tree,2015,7800,KLCC,Condominium,2,1,2,1076,1,Kuala Lumpur,10,4
23139697,Villa Wangsamas,2010,1700,Wangsa Maju,Condominium,3,.,3,1267,3,Kuala Lumpur,11,4
16717632,Villa Wangsamas,2010,2000,Wangsa Maju,Condominium,3,1,3,1267,1,Kuala Lumpur,11,5
99364321,The Capers,.,2100,Sentul,Service Residence,2,.,2,999,3,Kuala Lumpur,10,4
100321008,Central Residence @ Sg Besi,2015,1750,Sungai Besi,Condominium,3,2,2,1121,1,Kuala Lumpur,9,3
100320875,Unio Residence,2021,2000,Kepong,Apartment,2,1,2,872,1,Kuala Lumpur,11,4
100320904,Dahlia Apartment (Ampang),.,1300,Ampang,Apartment,3,.,2,860,2,Kuala Lumpur,3,1
100320954,1 Petaling,2012,1100,Sungai Besi,Condominium,3,1,2,904,3,Kuala Lumpur,6,4
100320945,Residensi Seri Wahyu @ Jalan Kuching KL,.,1300,KL City,Apartment,3,1,2,835,1,Kuala Lumpur,10,3
100320933,Pangsapuri Seroja,.,850,Jinjang,Apartment,3,.,2,750,3,Kuala Lumpur,1,2
98990742,Endah Villa,.,1400,Sri Petaling,Condominium,3,1,2,1129,1,Kuala Lumpur,11,4
100320836,Unio Residence,2021,1900,Kepong,Service Residence,2,1,2,1132,3,Kuala Lumpur,11,1
100140155,Rica Residence Sentul,2021,1700,Sentul,Condominium,2,.,1,700,3,Kuala Lumpur,10,4
100320688,PV9 Residences @ Taman Melati,2022,2100,Setapak,Service Residence,3,2,2,1000,3,Kuala Lumpur,9,3
100320795,Suasana Lumayan,2015,1550,Cheras,Condominium,4,1,2,1142,3,Kuala Lumpur,8,2
100320796,Plaza Prima Setapak,2006,1400,Setapak,Condominium,4,2,2,1300,3,Kuala Lumpur,6,2
100320727,Residensi Vista Wirajaya,.,1800,Setapak,Apartment,3,1,2,884,1,Kuala Lumpur,7,4
100320547,One Maxim,2020,1300,Sentul,Service Residence,3,1,2,819,3,Kuala Lumpur,9,1
100320546,M Centura,2021,2500,Sentul,Service Residence,3,1,2,850,1,Kuala Lumpur,6,3
100320543,PV9 Residences @ Taman Melati,2022,2300,Setapak,Service Residence,3,2,2,1000,3,Kuala Lumpur,7,3
100320529,Majestic Maxim,2021,1350,Cheras,Service Residence,2,1,1,650,3,Kuala Lumpur,8,5
100320520,Residensi KepongMas,2020,1100,Kepong,Apartment,3,2,2,800,3,Kuala Lumpur,6,3
100320656,Bayu Sentul Condominium,2015,1700,Sentul,Condominium,3,2,2,1300,3,Kuala Lumpur,14,2
100170082,Vista Angkasa,.,1800,Bangsar South,Apartment,3,1,2,1200,3,Kuala Lumpur,10,2
100234537,The Nest Residence @ Genting Klang,.,1600,Setapak,Service Residence,3,1,2,770,1,Kuala Lumpur,10,1
100320486,Sky Awani 3 Residence Setpak,.,1600,Setapak,Service Residence,3,2,2,800,1,Kuala Lumpur,8,3
100320507,M Centura,2021,1650,Sentul,Service Residence,3,2,2,850,3,Kuala Lumpur,1,2
100320503,M Centura,2021,1200,Sentul,Service Residence,2,1,1,646,2,Kuala Lumpur,8,.
100320593,OG Heights,1988,1200,Pantai,Condominium,2,1,2,1000,3,Kuala Lumpur,6,4
100235780,8 Petaling,2014,2599,Sri Petaling,Condominium,4,3,5,1899,1,Kuala Lumpur,7,4
99174282,Delima J Apartment,.,1400,Desa Pandan,Apartment,3,1,2,1000,3,Kuala Lumpur,3,2
100320340,Lexa Residence @ The Quartz WM,.,2600,Wangsa Maju,Service Residence,4,.,2,877,1,Kuala Lumpur,.,.
100255260,The Nest Residence @ Genting Klang,.,900,Setapak,Service Residence,1,1,1,360,1,Kuala Lumpur,10,.
100279958,Hedgeford 10 Residences @ Wangsa Maju,2015,1200,Wangsa Maju,Service Residence,1,1,1,521,3,Kuala Lumpur,6,3
100256144,The Establishment,2018,2500,Brickfields,Service Residence,1,1,1,468,1,Kuala Lumpur,1,4
100320298,The Henge Kepong,2019,2200,Kepong,Condominium,3,2,2,1100,1,Kuala Lumpur,14,5
100320294,Sofiya Residences,.,2300,Desa ParkCity,Condominium,3,1,2,862,1,Kuala Lumpur,9,3
100262241,Suasana Lumayan,2015,1500,Cheras,Condominium,4,1,2,1142,3,Kuala Lumpur,14,5
100320327,Vista Komanwel A,.,1600,Bukit Jalil,Condominium,3,2,2,1224,1,Kuala Lumpur,10,5
100320315,Apartment Sentul,.,700,Sentul,Apartment,3,.,1,700,2,Kuala Lumpur,2,1
99879586,Lakeville Residence,2017,1900,Jalan Ipoh,Condominium,3,2,2,1193,3,Kuala Lumpur,12,3
100320270,Arte Plus Jalan Ampang,2018,2100,Ampang,Service Residence,3,2,2,1200,1,Kuala Lumpur,11,3
100157790,Vista Langkawi @ PV18,.,1399,Setapak,Service Residence,3,1,2,926,3,Kuala Lumpur,.,.
100319605,Residensi Alam Damai (PR1MA @ Alam Damai),.,1300,Cheras,Apartment,3,1,3,935,2,Kuala Lumpur,6,1
99764987,Platinum OUG Residence,2021,1450,Kuchai Lama,Condominium,3,1,2,1100,3,Kuala Lumpur,5,.
99753372,Residensi Pandanmas 1,.,1500,Desa Pandan,Apartment,3,1,2,900,3,Kuala Lumpur,10,3
100319562,Flat Taman Melati,.,1000,Setapak,Flat,3,.,2,650,2,Kuala Lumpur,.,3
100103263,First Residence,2012,1600,Kepong,Condominium,3,1,2,1070,3,Kuala Lumpur,8,3
100234677,M Centura,2021,2200,Sentul,Service Residence,3,.,2,850,1,Kuala Lumpur,8,4
100319477,Regalia Residence,2012,2000,Jalan Sultan Ismail,Service Residence,1,1,1,560,1,Kuala Lumpur,5,.
100319453,38 Bidara,.,1900,KLCC,Condominium,2,.,2,705,1,Kuala Lumpur,9,.
100319350,Unio Residence,2021,2200,Kepong,Apartment,2,1,2,866,1,Kuala Lumpur,11,2
100319283,Legasi Kampong Bharu,2020,3300,KL City,Apartment,3,1,2,950,1,Kuala Lumpur,10,1
100319174,Mercu Summer Suites @ Kuala Lumpur,2015,2000,KL City,Service Residence,1,.,1,600,1,Kuala Lumpur,6,3
100319242,Vista Saujana,.,1000,Kepong,Apartment,3,.,2,955,3,Kuala Lumpur,4,.
96409547,Teratai Mewah Apartment,.,850,Setapak,Apartment,3,.,1,650,2,Kuala Lumpur,4,1
100319208,Bangsar Permai,1998,2500,Bangsar,Condominium,3,.,2,1000,1,Kuala Lumpur,8,4
99884824,Bayu Tasik 2,1998,1500,Cheras,Condominium,3,1,2,1000,1,Kuala Lumpur,9,4
99263112,Platinum Oug Residence,.,1650,Bukit Jalil,Condominium,3,1,2,1200,1,Kuala Lumpur,10,4
100318968,M Centura,2021,2500,Sentul,Service Residence,3,1,2,850,3,Kuala Lumpur,7,2
100032198,Casa Idaman,2010,1500,Jalan Ipoh,Condominium,3,2,2,1062,3,Kuala Lumpur,.,.
99994730,Flat Taman Bukit Angkasa,.,1200,Bangsar South,Flat,3,.,2,700,3,Kuala Lumpur,1,2
99424623,Platinum Lake PV 21,.,1500,Setapak,Service Residence,3,.,2,1040,3,Kuala Lumpur,6,3
95987225,Platinum Lake PV 20,.,1500,Setapak,Condominium,4,2,2,1333,3,Kuala Lumpur,.,3
98048623,M Vertica,2023,1800,Cheras,Condominium,3,.,2,850,3,Kuala Lumpur,10,4
100251282,Impian Kota,.,1500,KL City,Apartment,3,1,2,1100,3,Kuala Lumpur,1,1
100318477,Desa Dua Aman Puri,1990,850,Kepong,Apartment,3,1,2,850,2,Kuala Lumpur,7,1
100318476,The Andes Condo Villa @ Bukit Jalil,2018,3700,Bukit Jalil,Condominium,3,2,2,1325,1,Kuala Lumpur,.,.
100318578,Kepong Sentral Condominium,2007,999,Kepong,Condominium,3,1,2,962,2,Kuala Lumpur,10,.
100318535,Nuri Court,.,1500,Pandan Indah,Apartment,3,.,2,900,1,Kuala Lumpur,2,4
100318501,The Hipster @ Taman Desa,2022,2100,Taman Desa,Condominium,3,2,2,925,1,Kuala Lumpur,11,5
100318448,Mont Kiara Astana,1998,4500,Mont Kiara,Condominium,4,.,3,1690,1,Kuala Lumpur,10,4
100250824,Sentrio Suites,2017,1550,Desa Pandan,Service Residence,1,1,1,570,1,Kuala Lumpur,6,3
100318198,Majestic Maxim,2021,2300,Cheras,Service Residence,3,.,2,1050,1,Kuala Lumpur,8,4
100318196,Tiara Mutiara 2,2017,1500,Old Klang Road,Service Residence,3,.,2,900,3,Kuala Lumpur,6,3
100258228,PV9 Residences @ Taman Melati,2022,2499,Setapak,Service Residence,4,3,2,1100,3,Kuala Lumpur,7,4
99906090,Bukit Pandan 2,.,1450,Cheras,Condominium,3,1,2,1150,1,Kuala Lumpur,12,4
100198517,Angkasa Impian 1,2004,4000,Bukit Bintang,Condominium,4,.,4,2200,1,Kuala Lumpur,8,4
100318097,Majestic Maxim,2021,1100,Cheras,Service Residence,2,.,2,650,3,Kuala Lumpur,8,.
100318185,Majestic Maxim,2021,1750,Cheras,Service Residence,3,1,2,819,3,Kuala Lumpur,11,3
100231705,EkoCheras Service Apartment,2017,1800,Cheras,Service Residence,1,1,2,762,3,Kuala Lumpur,10,.
100317989,Apartment Sentul,.,1700,Sentul,Apartment,2,1,2,743,1,Kuala Lumpur,14,4
100317959,Camellia,2014,2200,Bangsar South,Condominium,1,1,1,638,1,Kuala Lumpur,5,.
100317753,Bayu @ Pandan Jaya,2015,1700,Pandan Jaya,Condominium,3,1,2,1072,3,Kuala Lumpur,7,3
100317749,Casa Green (Bukit Jalil),.,2000,Bukit Jalil,Condominium,4,1,2,900,1,Kuala Lumpur,7,4
100317885,10 Semantan,2006,1948,Damansara Heights,Service Residence,2,1,2,990,1,Kuala Lumpur,9,4
100317639,Impiana Sky Residensi,2021,1300,Bukit Jalil,Apartment,3,1,2,850,3,Kuala Lumpur,5,2
100317852,M Vertica,2023,2200,Cheras,Condominium,3,2,2,850,1,Kuala Lumpur,12,3
100317846,Damai Hillpark,2015,1600,Bandar Damai Perdana,Service Residence,3,2,2,1020,3,Kuala Lumpur,7,3
100208556,Vista Langkawi @ PV18,.,1300,Setapak,Service Residence,3,1,2,926,2,Kuala Lumpur,.,.
99984580,Platinum Lake PV 13,.,2400,Setapak,Condominium,3,2,2,1313,3,Kuala Lumpur,9,.
100317596,Majestic Maxim,2021,1400,Cheras,Service Residence,3,.,2,850,2,Kuala Lumpur,.,3
99363260,.,.,2500,Segambut,Condominium,3,2,3,1537,1,Kuala Lumpur,11,3
100317790,1 Razak Mansion,.,1200,Sungai Besi,Condominium,3,.,2,800,2,Kuala Lumpur,5,1
100317778,Putra Villa,2007,1800,Setapak,Condominium,3,.,2,1066,1,Kuala Lumpur,6,4
99662226,Vina Versatile Homes,2016,1400,Cheras,Studio,1,1,1,450,1,Kuala Lumpur,10,3
99912677,M Vertica,2023,1800,Cheras,Condominium,3,.,2,850,3,Kuala Lumpur,9,2
99947710,PV9 Residences @ Taman Melati,2022,550,Setapak,Service Residence,4,.,3,1300,3,Kuala Lumpur,11,5
100317570,Residensi Jalilmas,.,1000,Bukit Jalil,Apartment,3,1,2,800,3,Kuala Lumpur,5,2
100317353,Sri Putramas,2004,1500,Jalan Kuching,Condominium,3,1,2,1100,3,Kuala Lumpur,10,1
100317337,Sri Putramas,2004,1600,Jalan Kuching,Condominium,3,1,2,1100,1,Kuala Lumpur,10,2
100317317,Pangsapuri Melur (Sentul),2006,1400,Sentul,Apartment,3,1,2,650,3,Kuala Lumpur,8,3
100317514,Platinum OUG Residence,2021,1800,Kuchai Lama,Condominium,3,1,2,1200,1,Kuala Lumpur,4,4
